ID_merge;questionnaire_data_source;variable_title;variable_title_2;data_type;scale_level;description;unit;options
standort;General;Study location;Study location;Text;nominal;Location of study center;NA;Reutlingen, Freiburg, Aachen, Magdeburg, Osnabrück, Chemnitz, Hannover, Greifswald
euroimmun_result_quantitativ;Laboratory results;Euroimmun result quantitativ;Euroimmun result quantitativ;Text;Text;"Values have a range of 0 to 14 and two decimal places, some are coded with "">""";NA;NA
euroimmun_result_qualitativ;Laboratory results;Euroimmun result qualitativ;Euroimmun result qualitativ;Text;nominal;Classified according to cut-off value defined by manufacturer;NA;NA
diasorin_result_quantitativ;Laboratory results;Diasorin result quantitativ;Diasorin result quantitativ;Text;Text;NA;NA;NA
diasorin_result_qualitativ;Laboratory results;Diasorin result qualitativ;Diasorin result qualitativ;Text;nominal;Classified according to cut-off value defined by manufacturer;NA;NA
roche_result_quantitativ;Laboratory results;Roche result quantitativ;Roche result quantitativ;Float;metric;NA;NA;NA
roche_result_qualitativ;Laboratory results;Roche result qualitativ;Roche result qualitativ;Text;nominal;Classified according to cut-off value defined by manufacturer;NA;NA
siemens_result_quantitativ;Laboratory results;Siemens result quantitativ;Siemens result quantitativ;Text;Text;NA;NA;NA
siemens_result_qualitativ;Laboratory results;Siemens result qualitativ;Siemens result qualitativ;Text;nominal;Classified according to cut-off value defined by manufacturer;NA;NA
classification;Multiplex results (NMI);Qualitative result if SARS-CoV-2 reactive IgG are present in a sample: positive or negative;Presence of antibodies reactive to Spike and RBD;Text;nominal;SARS-CoV-2 specific IgG  reactivity (positivity) is given if the S/CO value for SARS-CoV-2 Spike protein-specific IgG and  SARS-CoV-2 RBD -specific IgG >1;semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
vacc_inf;Multiplex results (NMI);Separation of serology status into infected or vaccinated;Separation of serology status;Text;nominal;Prior to January 2021 all samples are classified as infected, after this a distinction is made of SARS-CoV-2 IgG reactive/positive samples into vaccinated or infected by presence of SARS-CoV-2 nucleocapsid-specific IgG: vaccinated (NC S/CO <1) and infected (NC S/CO >1);semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);vaccinated, infected
s;Multiplex results (NMI);SARS-CoV-2 Spike protein-specific IgG S/CO;Antibodies reactive to SARS-CoV-2 Spike protein;Float;metric;Defines presence of IgG antibody isotype reactive to SARS-CoV-2 Spike protein  (B.1 isolate) – together with RBD S/CO classifier for SARS-CoV-2 serostatus;semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
rbd;Multiplex results (NMI);SARS-CoV-2 Receptor-binding domain-specific IgG;Antibodies reactive to SARS-CoV-2 Receptor-binding domain;Float;metric;Defines presence of IgG antibody isotype reactive to SARS-CoV-2 RBD protein  (B.1 isolate) - together with RBD S/CO classifier for SARS-CoV-2 serostatus;semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
s1;Multiplex results (NMI);SARS-CoV-2 Spike S1 domain-specific IgG;Antibodies reactive to SARS-CoV-2 Spike S1;Float;metric;Defines presence of IgG antibody isotype reactive to SARS-CoV-2 S1 protein  (B.1 isolate);semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
s2;Multiplex results (NMI);SARS-CoV-2 Spike S2 domain-specific IgG;Antibodies reactive to SARS-CoV-2 Spike S2;Float;metric;Defines presence of IgG antibody isotype reactive to SARS-CoV-2 S2 protein  (B.1 isolate);semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
nc;Multiplex results (NMI);SARS-CoV-2 nucleocapsid –specific IgG;Antibodies reactive to SARS-CoV-2 nucleocapsid a;Float;metric;Defines presence of IgG antibody isotype reactive to SARS-CoV-2 S2 protein  (B.1 isolate) – classifier after vaccine introduction if  a person was vaccinated  or infected  (or vaccinated plus infected : breaktrough infection);semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
oc43s1;Multiplex results (NMI);OC43 Spike S1 subdomain-specific IgG;Antibodies reactive to OC43 Spike S1 subdomain;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
oc43n;Multiplex results (NMI);OC43 Spike nucleocapsid-specific IgG;Antibodies reactive to OC43 Spike nucleocapsid;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
hku1s1;Multiplex results (NMI);HKU1 Spike S1 subdomain-specific IgG;Antibodies reactive to HKU1 Spike S1 subdomain;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
hku1n;Multiplex results (NMI);HKU1 nucleocapsid-specific IgG;Antibodies reactive to HKU1 nucleocapsid;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
nl63s1;Multiplex results (NMI);NL63 Spike S1 subdomain-specific IgG;Antibodies reactive to NL63 Spike S1 subdomain;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
nl63n;Multiplex results (NMI);NL63  nucleocapsid subdomain-specific IgG;Antibodies reactive to NL63 nucleocapsid;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
x229es1;Multiplex results (NMI);229E  Spike S1 subdomain-specific IgG;Antibodies reactive to 229E Spike S1 subdomain;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
x229en;Multiplex results (NMI);229E  nucleocapsid subdomain-specific IgG;Antibodies reactive to 229E nucleocapsid;Float;metric;"Member of endemic (common cold) coronavirus family;  no clear definition for positivity as  all samples contain IgG reactive to those antigens (hCoV protein)";semi-quantitative: none as normalized median intensity fluorenscence (MFI) ratio. A  Signal to Cutoff (S/CO)  is calculated and displayed (MFI sample/MFI quality control sample);NA
kurzfragen_healthstatus;Kurzfragebogen (Short questionnaire);Current health status;Current health status;Text;ordinal;Self-assessment by participant;NA;NA
kurzfragen_fluvac_2020_21;Kurzfragebogen (Short questionnaire);Seasonal flu vaccination;Seasonal flu vaccination;Yes+No;nominal;Received a flu shot during the 2020/2021 flu season;NA;NA
kurzfragen_employment_consequences;Kurzfragebogen (Short questionnaire);Employment changes during pandemic yes or no;Employment changes during pandemic;Yes+No;nominal;NA;NA;NA
employ_change_homeoffice;Kurzfragebogen (Short questionnaire);Employment change homeoffice;Employment change homeoffice;Yes+No;metric;"binarized variable ""kurzfragen_employment_consequences_specified""; if selected by participant in ""kurzfragen_employment_consequences_specified"" coded 1 otherwise 0";NA;0 = No, 1 = Yes
employ_change_short_time;Kurzfragebogen (Short questionnaire);Employment change short time work;Employment change short time work;Yes+No;metric;"binarized variable ""kurzfragen_employment_consequences_specified""; if selected by participant in ""kurzfragen_employment_consequences_specified"" coded 1 otherwise 0";NA;0 = No, 1 = Yes
employ_change_termination;Kurzfragebogen (Short questionnaire);Employment change termination;Employment change termination;Yes+No;metric;"binarized variable ""kurzfragen_employment_consequences_specified""; if selected by participant in ""kurzfragen_employment_consequences_specified"" coded 1 otherwise 0";NA;0 = No, 1 = Yes
kurzfragen_cov19_tested_febr2020_yn;Kurzfragebogen (Short questionnaire);Covid19 test since 02/2020;Covid19 test since 02/2020;Yes+No;nominal;NA;NA;NA
kurzfragen_cov19_tested_febr2020_result;Kurzfragebogen (Short questionnaire);Covid19 test since 02/2020 result;Covid19 test since 02/2020 result;Text;nominal;NA;NA;NA
kurzfragen_cov19_sero_tested_febr2020_yn;Kurzfragebogen (Short questionnaire);Covid19 antibody test since 02/2020;Covid19 antibody test since 02/2020;Yes+No;Text;NA;NA;NA
kurzfragen_cov19_sero_tested_febr2020_result;Kurzfragebogen (Short questionnaire);Covid19 antibody test since 02/2020 result;Covid19 antibody test since 02/2020 result;Text;nominal;NA;NA;NA
kurzfragen_cov19_household_tested_febr2020_yn;Kurzfragebogen (Short questionnaire);Covid19 someone in household tested since 02/2020;Covid19 someone in household tested since 02/2020;Text;nominal;NA;NA;NA
kurzfragen_cov19_household_tested_febr2020_first_positive_date;Kurzfragebogen (Short questionnaire);Covid19 someone in household tested positive since 02/2020 date;Covid19 someone in household tested positive since 02/2020 date;Date;metric;NA;NA;NA
langfragen_household_n;Langfragebogen (Long questionnaire);Number of people in household;Number of people in household;Integer;metric;NA;NA;NA
langfragen_restriction_contact_yn;Langfragebogen (Long questionnaire);Maintenance of social distance;Maintenance of social distance;Text;ordinal;Was maintenance of social distance possible?;NA;NA
langfragen_hand_cleaning_time;Langfragebogen (Long questionnaire);Hand washing recommended time;Hand washing recommended time;Text;ordinal;What does the participant think is the current recommended time for hand washing?;NA;NA
langfragen_hand_cleaning_perday;Langfragebogen (Long questionnaire);Hand washing times per day;Hand washing times per day;Text;Text;How many times per day does participant wash their hands?;NA;NA
